,,,Scoby Samples taken at the end of fermentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Bacterial genera count (Lab brew Samples),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Komagataeibacter,Ammoniphilus,Paenibacillus,Streptococcus,Anoxybacillus,Bradyrhizobium,Lawsonella,Pedobacter,Rhodococcus,Lactobacillus,Faecalibacterium,Solobacterium,Sphingomonas,Listeria,Lactococcus,Prevotella_7,Chryseobacterium,Blastomonas,Pseudomonas,Nocardioides,Staphylococcus,Prevotella,Niabella,Methylobacterium,Anaerococcus,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Flavobacterium,Kocuria,Acinetobacter,Haemophilus,Variovorax,Candidatus_Carsonella,Brevibacterium,Brevibacillus,Cloacibacterium,Salana,Brevundimonas,Corynebacterium_1,Sodalis,Atopostipes
SB1Ab-16S,7716,367,251,181,176,146,144,114,62,96,95,78,161,74,0,70,64,0,66,0,19,46,44,0,0,30,0,0,23,19,0,0,0,0,0,0,0,0,0,0
SB1Bb-16S,5435,138,43,0,50,35,0,0,154,0,0,0,10,0,72,0,0,0,56,68,53,0,0,37,46,0,25,24,0,0,16,15,14,14,0,10,10,0,6,0
SB2Ab-16S,5947,33,11,0,16,20,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6
SB2Bb-16S,5298,49,44,0,67,9,0,0,9,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,10,0,0
Sum,24396,587,349,181,309,210,144,114,225,96,95,78,171,74,72,70,64,59,122,79,72,46,44,37,46,30,25,24,23,19,20,15,14,14,14,10,10,10,6,6
Sum Total,27980,27980,27980,27980,27980,27980,27980,27980,27980,27980,27980,27980,27980,27980,27980,27980,27980,27980,27980,27980,27980,27980,27980,27980,27980,27980,27980,27980,27980,27980,27980,27980,27980,27980,27980,27980,27980,27980,27980,27980
